time,bid_price,bid_quantity,ask_price,ask_quantity
1779219574014,76898.37,2.74164,76898.38,0.00387
1779219574014,76898.36,0.00036,76898.39,0.00085
1779219574014,76898.35,0.00014,76898.4,0.00014
1779219574014,76898.33,0.00014,76898.78,0.00014
1779219574014,76898.0,0.00014,76898.79,0.02429
1779219574014,76897.99,7e-05,76898.91,0.004
1779219574014,76897.97,7e-05,76898.94,0.00025
1779219574014,76897.65,0.00664,76899.15,0.0001
1779219574014,76897.64,0.01965,76899.61,0.00022
1779219574014,76897.18,7e-05,76899.62,0.06085
1779219574014,76896.99,0.004,76899.82,0.00022
1779219574014,76896.41,7e-05,76899.83,0.03014
1779219574014,76896.18,0.10416,76900.0,0.0034
1779219574014,76896.17,0.15667,76900.14,8e-05
1779219574014,76896.16,0.05014,76900.25,0.00019
1779219574014,76896.15,0.10873,76900.6,7e-05
1779219574014,76896.08,0.01341,76900.73,0.01301
1779219574014,76895.42,0.00153,76900.77,7e-05
1779219574014,76895.11,0.32542,76901.37,0.00349
1779219574014,76895.1,0.75446,76901.39,0.00465
1779219574014,76895.06,0.004,76901.68,0.00405
1779219574014,76894.97,0.0417,76901.88,7e-05
1779219574014,76894.56,7e-05,76902.0,0.0034
1779219574014,76894.55,0.01951,76902.01,7e-05
1779219574014,76894.46,7e-05,76902.02,0.00029
1779219574014,76894.24,0.0078,76902.03,0.12021
1779219574014,76894.23,1.95125,76902.51,0.00027
1779219574014,76894.21,0.07,76902.62,0.00172
1779219574014,76894.08,0.00716,76902.71,0.0133
1779219574014,76894.06,7e-05,76902.95,0.00019
1779219574014,76893.91,0.15583,76902.96,8e-05
1779219574014,76893.13,0.004,76903.06,0.00015
1779219574014,76892.97,0.00065,76903.07,0.80638
1779219574014,76892.94,7e-05,76903.08,0.04057
1779219574014,76892.69,0.18199,76903.38,7e-05
1779219574014,76892.59,0.00027,76903.44,8e-05
1779219574014,76892.36,0.00027,76903.45,1.95117
1779219574014,76892.35,0.19061,76903.47,0.554
1779219574014,76892.16,8e-05,76903.7,0.10127
1779219574014,76891.99,0.00031,76903.72,0.00053
1779219574014,76891.81,0.0078,76903.92,0.04
